Процессы (в консоль ограничено, в файл пишется полный список):
171      irq/27-ACPI:Event            Normal     2025-12-19 14:41:09 Running/R… 0,00     0         
172      irq/28-ACPI:Event            Normal     2025-12-19 14:41:09 Running/R… 0,00     0         
173      irq/29-ACPI:Event            Normal     2025-12-19 14:41:09 Running/R… 0,00     0         
145      irq/31-pciehp                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
499      irq/64-ELAN2310:00           Normal     2025-12-19 14:41:13 Running/R… 23,19    0         
656      irq/68-ACP_PCI_IRQ           Normal     2025-12-19 14:41:14 Running/R… 0,00     0         
129      irq/9-acpi                   Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
39189    Isolated Servic              AboveNormal 2025-12-19 15:04:07 Running/R… 13,91    134       
9015     Isolated Web Co              AboveNormal 2025-12-19 14:42:26 Running/R… 3,41     111       
15110    Isolated Web Co              AboveNormal 2025-12-19 14:44:56 Running/R… 76,18    482       
33406    Isolated Web Co              AboveNormal 2025-12-19 14:54:41 Running/R… 5,82     133       
33414    Isolated Web Co              AboveNormal 2025-12-19 14:54:41 Running/R… 8,17     183       
33617    Isolated Web Co              AboveNormal 2025-12-19 14:54:49 Running/R… 20,73    231       
33779    Isolated Web Co              AboveNormal 2025-12-19 14:54:59 Running/R… 203,88   437       
39473    Isolated Web Co              AboveNormal 2025-12-19 15:04:30 Running/R… 324,06   792       
67182    Isolated Web Co              AboveNormal 2025-12-19 16:36:09 Running/R… 8,94     282       
59880    java                         Normal     2025-12-19 15:45:53 Running/R… 920,48   2132      
298      jbd2/nvme0n1p2-8             Normal     2025-12-19 14:41:11 Running/R… 0,22     0         
661      jbd2/nvme0n1p3-8             Normal     2025-12-19 14:41:14 Running/R… 1,04     0         
60290    jcef_helper                  Normal     2025-12-19 15:46:00 Running/R… 0,04     32        
60291    jcef_helper                  Normal     2025-12-19 15:46:00 Running/R… 0,03     32        
60293    jcef_helper                  Normal     2025-12-19 15:46:00 Running/R… 0,00     14        
60311    jcef_helper                  BelowNormal 2025-12-19 15:46:00 Running/R… 0,77     251       
60413    jcef_helper                  Normal     2025-12-19 15:46:01 Running/R… 0,26     49        
76926    jcef_helper                  Normal     2025-12-19 16:46:57 Running/R… 0,00     39        
86154    jcef_helper                  BelowNormal 2025-12-19 17:17:26 Running/R… 0,45     114       
61458    JetBrains.ProcessEnumerator… Normal     2025-12-19 15:46:44 Running/R… 6,70     109       
118      kauditd                      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
123      kcompactd0                   Normal     2025-12-19 14:41:08 Running/R… 10,07    0         
116      kdevtmpfs                    Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
125      khugepaged                   Idle       2025-12-19 14:41:08 Running/R… 1,24     0         
119      khungtaskd                   Normal     2025-12-19 14:41:08 Running/R… 0,02     0         
1718     krfcommd                     AboveNormal 2025-12-19 14:41:21 Running/R… 0,00     0         
124      ksmd                         BelowNormal 2025-12-19 14:41:08 Running/R… 0,00     0         
18       ksoftirqd/0                  Normal     2025-12-19 14:41:08 Running/R… 0,33     0         
71       ksoftirqd/1                  Normal     2025-12-19 14:41:08 Running/R… 0,20     0         
53       ksoftirqd/10                 Normal     2025-12-19 14:41:08 Running/R… 0,20     0         
101      ksoftirqd/11                 Normal     2025-12-19 14:41:08 Running/R… 0,10     0         
59       ksoftirqd/12                 Normal     2025-12-19 14:41:08 Running/R… 0,14     0         
107      ksoftirqd/13                 Normal     2025-12-19 14:41:08 Running/R… 0,04     0         
65       ksoftirqd/14                 Normal     2025-12-19 14:41:08 Running/R… 0,08     0         
113      ksoftirqd/15                 Normal     2025-12-19 14:41:08 Running/R… 0,03     0         
29       ksoftirqd/2                  Normal     2025-12-19 14:41:08 Running/R… 0,05     0         
77       ksoftirqd/3                  Normal     2025-12-19 14:41:08 Running/R… 0,06     0         
35       ksoftirqd/4                  Normal     2025-12-19 14:41:08 Running/R… 0,08     0         
83       ksoftirqd/5                  Normal     2025-12-19 14:41:08 Running/R… 0,03     0         
41       ksoftirqd/6                  Normal     2025-12-19 14:41:08 Running/R… 0,22     0         
89       ksoftirqd/7                  Normal     2025-12-19 14:41:08 Running/R… 0,12     0         
47       ksoftirqd/8                  Normal     2025-12-19 14:41:08 Running/R… 0,20     0         
95       ksoftirqd/9                  Normal     2025-12-19 14:41:08 Running/R… 0,03     0         
143      kswapd0                      Normal     2025-12-19 14:41:08 Running/R… 7,04     0         
2        kthreadd                     Normal     2025-12-19 14:41:08 Running/R… 0,02     0         
